Gene,SNAP-a
PGBD5,0.000452073
AL359232.1,0.00044912
PRKD1,0.00044624
LRRN3,0.000445374
PHKA1,0.0004452
NT5DC1,0.000444851
VWA8,0.000443015
AL591686.2,0.000442904
AGAP1,0.000442818
E2F3,0.000442297
GRM1,0.000440936
DOCK4,0.000440554
DTWD2,0.000440506
AP002991.1,0.000440274
PPP2R2C,0.000439623
CLASP2,0.000439504
ZNF827,0.000439096
SLC25A33,0.000439016
CXXC4-AS1,0.000438749
ISPD,0.000438474
ATP13A5,0.000438092
PRKACB,0.000437638
USP9Y,0.000433387
AC091948.1,0.00043286
GPHN,0.000432481
COL28A1,0.000432369
BDNF-AS,0.000431928
FGD6,0.000431244
DMGDH,0.000431242
SHROOM2,0.000430721
KIAA1958,0.000430166
SEMA4A,0.000428096
OAF,0.000427964
MEIS1,0.000425862
AC090115.1,0.000425686
ARHGEF26,0.000425492
EML6,0.000425316
NKAIN2,0.000424671
MACF1,0.000423988
PIK3C2B,0.000423655
ZNF721,0.000422892
ZNF423,0.000422773
CCDC7,0.000422653
VEGFC,0.000421093
TBC1D4,0.000420567
STON2,0.000419635
AC097103.2,0.000418891
JAKMIP2,0.000418525
PLCG1-AS1,0.000418028
ZNF492:ZNF98,0.000417773
THRB,0.000417138
KNDC1,0.000417136
TRIM2,0.000415997
MAPK8,0.000415342
TTTY14,0.000414844
CPEB3,0.000414108
SMURF2,0.000413852
ITGB5,0.000412819
FRS2,0.000411797
GPR39,0.000411148
RUBCNL,0.000411066
CDHR3,0.0004104
CAMKMT,0.000409582
CCDC171,0.000409378
ARSF,0.000408346
ZNF883,0.000407551
AC138150.1,0.000407502
NOL4,0.000407402
PER3,0.000406447
AL136366.1,0.000405561
ITSN1,0.000404898
PARD3B,0.00040444
PURG,0.000404423
ATXN2,0.000402933
TMEM178B,0.000402729
SLC13A3,0.000402526
KCNJ10,0.000402143
CCDC102B,0.000402043
LINC00943,0.000401708
LRRC49,0.000401693
SPRED2,0.000401579
TDRD3,0.000400161
HDAC2-AS2,0.000400147
AC008014.1,0.000399898
ARHGEF12,0.000399489
SLC30A10,0.0003993
MTMR1,0.000398848
ADD3,0.000398831
GRIN2C,0.000398332
FAM46A,0.000398211
SLC1A4,0.000397797
DANT2,0.000396842
PNPLA7,0.000396694
ADGRB1,0.000396477
DENND1A,0.00039631
BTBD11,0.000396054
AC090993.1,0.000395358
EXT1,0.000394684
FARS2,0.000394162
WWC1,0.000393659
RAB31,0.000393451
ARHGAP23,0.000392815
MEIS2,0.000392684
NBEA,0.000392036
DLG2,0.000390979
NIPSNAP2,0.000390848
BDH1,0.000390377
MIR124-2HG,0.000390341
ZNF407,0.00038961
CD38,0.000389412
HS2ST1,0.000389378
ZNF532,0.000388905
TET1,0.000388771
CADPS2,0.000387904
AL157911.1,0.000387687
LINC00500,0.000386626
MEGF11,0.000386456
RBM26,0.000385022
PDE4B,0.000384306
